,,,,,,
,,,,,,
,,Product,Link,Qty,Price for single peice,Price
,,MG996R Servo motor,https://robu.in/product/towardpro-mg996r-digital-high-torque-servo-motor/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWf_GdAZ1RSfm2qmaouDO4fzR&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-iczes_8oYZDGxvmy9i5psKHxM4xVXahxjOL-uEhiSSbbIQ6ZavsgKQ8aAo3LEALw_wcB,6,4.68,28.08
,,PCA9685 Servo Motor Driver,https://www.amazon.com/HiLetgo-PCA9685-Channel-12-Bit-Arduino/dp/B07BRS249H/ref=as_li_ss_tl?dchild=1&keywords=PCA9685&qid=1608902784&sr=8-3&linkCode=sl1&tag=aram1-20&linkId=6bfd45042da589c58c76a83aa9234729&language=en_US,1,13.99,13.99
,,4.8v Battery Pack,https://www.amazon.com/Gecoty-Battery-Upgrade-2400mAh-Rechargeable/dp/B07ZD72FR8/ref=as_li_ss_tl?crid=1SUXXTEM72AMX&dchild=1&keywords=5v%2Brc%2Bbattery&qid=1608902830&sprefix=5V%2BRC%2Caps%2C230&sr=8-2&linkCode=sl1&tag=aram1-20&linkId=cf33cc25cb1525b1538bbb631d1613ce&language=en_US&th=1,2,13.99,27.98
,,ELEGOO UNO R3,https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU/ref=as_li_ss_tl?dchild=1&keywords=Arduino+Uno&qid=1608902855&sr=8-4&linkCode=sl1&tag=aram1-20&linkId=8fcff8f543d114bffbbaff8e80590816&language=en_US,2,14.99,29.98
,,HC-05 Bluetooth,https://www.amazon.com/DSD-TECH-HC-05-Pass-through-Communication/dp/B01G9KSAF6/ref=as_li_ss_tl?dchild=1&keywords=Arduino+HC05&qid=1608902879&sr=8-5&linkCode=sl1&tag=aram1-20&linkId=4b05d464c921cc200c23040703bf5d17&language=en_US,2,9.99,19.98
,,Breadboards,http://amazon.com/Breadboards-Solderless-Breadboard-Distribution-Connecting/dp/B07DL13RZH/ref=as_li_ss_tl?dchild=1&keywords=Breadboard&qid=1608902971&sr=8-3&linkCode=sl1&tag=aram1-20&linkId=3d4e3bd50e7c48c7f6cfe02374c572b0&language=en_US,1,7.19,7.19
,,Multicolored Dupont Wire,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=as_li_ss_tl?dchild=1&keywords=Jumper+Wires&qid=1608903005&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFVMFZHVlI2TFBGRkMmZW5jcnlwdGVkSWQ9QTAwNTI3MThNM0UzRVVWSFBHQzEmZW5jcnlwdGVkQWRJZD1BMDUzMTg0NzNMTjhVQ1ZVMUg0OEQmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&linkCode=sl1&tag=aram1-20&linkId=af9f66671c3127cfc87d0302697160a8&language=en_US,1,6.98,6.98
,,Nema 17 Servo Motor,https://robu.in/product/nema17-4-2-kgcm-stepper-motor/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWf_GdAZ1RSfm2qmaouDO4fzR&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-icw4dpHzkAUAw_S3szy53HFl9X8dWwjU-clugoYipY-7aYBAD1L0jEQaAqWeEALw_wcB,2,7.37,14.74
,,A4988 driver Stepper Motor Driver,https://robu.in/product/a4988-driver-stepper-motor-driver/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWf_GdAZ1RSfm2qmaouDO4fzR&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-icxAmRDQ_sQ1djITtcrzscmsR57J_rZBkzJiIgKSRGylgecqeeTjBvoaAtHoEALw_wcB,4,1.38,5.52
,,11.1V 2500mAh Lithium Polymer Battery,https://robu.in/product/orange-11-1v-2500mah-3c-3s-tx-lithium-polymer-battery-pack-with-jst-bec-connector/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWfyFtQE7mnqPIu2RWXBkvMZ0&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-icysnCN9fjzYawHXbUMut9BazRBahgK_B2uMicA47LaJkc4avHkxMrEaArTlEALw_wcB,2,16.03,32.06
